entite_privee,label,type,uri_wikidata,wd_label,score_confiance,statut
:Q137427253,Q137427253,Athlete,http://www.wikidata.org/entity/Q137427253,,0.85,alignée (CSV)
:Q137427318,Q137427318,Athlete,http://www.wikidata.org/entity/Q137427318,,0.85,alignée (CSV)
:Q137427361,Q137427361,Athlete,http://www.wikidata.org/entity/Q137427361,,0.85,alignée (CSV)
:Q137427402,Q137427402,Athlete,http://www.wikidata.org/entity/Q137427402,,0.85,alignée (CSV)
:Q137427496,Q137427496,Athlete,http://www.wikidata.org/entity/Q137427496,,0.85,alignée (CSV)
:Q137427797,Q137427797,Athlete,http://www.wikidata.org/entity/Q137427797,,0.85,alignée (CSV)
:Q137439662,Q137439662,Athlete,http://www.wikidata.org/entity/Q137439662,,0.85,alignée (CSV)
:Q137439731,Q137439731,Athlete,http://www.wikidata.org/entity/Q137439731,,0.85,alignée (CSV)
:Q137439755,Q137439755,Athlete,http://www.wikidata.org/entity/Q137439755,,0.85,alignée (CSV)
:Q137439786,Q137439786,Athlete,http://www.wikidata.org/entity/Q137439786,,0.85,alignée (CSV)
:Q137439797,Q137439797,Athlete,http://www.wikidata.org/entity/Q137439797,,0.85,alignée (CSV)
:Q137439888,Q137439888,Athlete,http://www.wikidata.org/entity/Q137439888,,0.85,alignée (CSV)
:Q137442077,Q137442077,Athlete,http://www.wikidata.org/entity/Q137442077,,0.85,alignée (CSV)
:Q137442123,Q137442123,Athlete,http://www.wikidata.org/entity/Q137442123,,0.85,alignée (CSV)
:Q137442135,Q137442135,Athlete,http://www.wikidata.org/entity/Q137442135,,0.85,alignée (CSV)
:Q137442401,Q137442401,Athlete,http://www.wikidata.org/entity/Q137442401,,0.85,alignée (CSV)
:Q137442441,Q137442441,Athlete,http://www.wikidata.org/entity/Q137442441,,0.85,alignée (CSV)
:Q137456231,Q137456231,Athlete,http://www.wikidata.org/entity/Q137456231,,0.85,alignée (CSV)
:Q137456295,Q137456295,Athlete,http://www.wikidata.org/entity/Q137456295,,0.85,alignée (CSV)
:Q137456346,Q137456346,Athlete,http://www.wikidata.org/entity/Q137456346,,0.85,alignée (CSV)
:Q137456384,Q137456384,Athlete,http://www.wikidata.org/entity/Q137456384,,0.85,alignée (CSV)
:Q137456723,Q137456723,Athlete,http://www.wikidata.org/entity/Q137456723,,0.85,alignée (CSV)
:Q137461165,Q137461165,Athlete,http://www.wikidata.org/entity/Q137461165,,0.85,alignée (CSV)
:Q137476805,Q137476805,Athlete,http://www.wikidata.org/entity/Q137476805,,0.85,alignée (CSV)
:Q137478001,Q137478001,Athlete,http://www.wikidata.org/entity/Q137478001,,0.85,alignée (CSV)
:Q137478395,Q137478395,Athlete,http://www.wikidata.org/entity/Q137478395,,0.85,alignée (CSV)
:Q137478433,Q137478433,Athlete,http://www.wikidata.org/entity/Q137478433,,0.85,alignée (CSV)
:Q137507359,Q137507359,Athlete,http://www.wikidata.org/entity/Q137507359,,0.85,alignée (CSV)
:Q137507404,Q137507404,Athlete,http://www.wikidata.org/entity/Q137507404,,0.85,alignée (CSV)
:Q137507993,Q137507993,Athlete,http://www.wikidata.org/entity/Q137507993,,0.85,alignée (CSV)
:QuChunyu,Qu Chunyu,Athlete,http://www.wikidata.org/entity/Q28047104,,0.85,alignée (CSV)
